Gender,Age,Driver_Licence,H_size,Veh_count,Income,Mode,Minutes,Go_time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Car_freq,Pt_freq,Walk_freq,Distance
Άνδρας,21 - 30,No,4,3,500 - 1000,Λεωφορείο,60,09.00 - 12.00,Totally disagree,Neutral,Disagree,Agree,Totally agree,Neutral,Agree,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,7.12
Άνδρας,21 - 30,No,3,1,500 - 1000,Λεωφορείο,40,06.00 - 09.00,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Καθόλου,Καθημερινά,Λίγες φορές (2-3 μέρες την εβδομάδα),7.6
Γυναίκα,21 - 30,No,3,1,0 - 500,Λεωφορείο,35,06.00 - 09.00,Agree,Totally agree,Neutral,Disagree,Totally disagree,Agree,Disagree,Καθόλου,Καθημερινά,Αρκετές φορές (4-5 μέρες την εβδομάδα),6.6
Άνδρας,21 - 30,Yes,3,2,500 - 1000,Αμάξι,40,06.00 - 09.00,Totally agree,Totally agree,Totally agree,Disagree,Neutral,Totally agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),19.6
Γυναίκα,21 - 30,No,4,1,500 - 1000,Πόδια,5,09.00 - 12.00,Totally agree,Totally agree,Totally agree,Totally agree,Agree,Totally agree,Totally disagree,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,0.4
Άνδρας,21 - 30,Yes,3,3,2000 και άνω,Αμάξι,15,09.00 - 12.00,Agree,Neutral,Totally agree,Agree,Agree,Totally agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,5.1
Γυναίκα,21 - 30,Yes,2,2,500 - 1000,Αμάξι,19,09.00 - 12.00,Totally agree,Neutral,Totally agree,Neutral,Neutral,Totally agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),14.4
Γυναίκα,21 - 30,Yes,2,1,500 - 1000,Λεωφορείο,55,06.00 - 09.00,Totally agree,Agree,Agree,Neutral,Neutral,Agree,Totally agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,11.4
Άνδρας,51 - 60,Yes,4,2,1000 - 1500,Αμάξι,28,06.00 - 09.00,Totally agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),9.2
Γυναίκα,41 - 50,Yes,4,1,0 - 500,Πόδια,12,09.00 - 12.00,Neutral,Agree,Neutral,Neutral,Totally agree,Agree,Disagree,Σπάνια (1 μέρα  την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,0.95
Γυναίκα,21 - 30,No,4,1,500 - 1000,Πόδια,10,06.00 - 09.00,Totally agree,Agree,Agree,Neutral,Agree,Totally agree,Agree,Καθόλου,Καθόλου,Καθημερινά,0.7
Άνδρας,21 - 30,Yes,2,1,500 - 1000,Αμάξι,20,06.00 - 09.00,Agree,Agree,Agree,Agree,Totally agree,Agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,3.2
Άνδρας,31 -40,Yes,3,2,1000 - 1500,Αμάξι,30,12.00 - 15.00,Neutral,Neutral,Agree,Neutral,Totally disagree,Totally disagree,Totally agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),9.5
Άνδρας,21 - 30,Yes,1,1,1500 - 2000,Αμάξι,28,06.00 - 09.00,Totally disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Totally disagree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),23.1
Άνδρας,21 - 30,Yes,3,1,1000 - 1500,Αμάξι,5,09.00 - 12.00,Totally agree,Disagree,Totally agree,Agree,Neutral,Totally agree,Agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),1.1
Άνδρας,21 - 30,Yes,4,2,0 - 500,Λεωφορείο,33,09.00 - 12.00,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),5.9
Άνδρας,21 - 30,Yes,3,2,2000 και άνω,Αμάξι,45,06.00 - 09.00,Totally disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,35.8
Άνδρας,31 -40,Yes,2,1,500 - 1000,Αμάξι,24,09.00 - 12.00,Neutral,Neutral,Disagree,Totally disagree,Neutral,Neutral,Totally disagree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),6.6
Άνδρας,41 - 50,Yes,2,1,500 - 1000,Αμάξι,20,06.00 - 09.00,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),11.4
Γυναίκα,21 - 30,No,5,1,500 - 1000,Πόδια,20,18.00 - 21.00,Disagree,Totally disagree,Neutral,Disagree,Totally agree,Agree,Totally disagree,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,1.5
Άνδρας,31 -40,Yes,5,3,1000 - 1500,Αμάξι,10,06.00 - 09.00,Totally agree,Totally agree,Totally agree,Disagree,Neutral,Agree,Agree,Καθημερινά,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),3.6
Άνδρας,21 - 30,Yes,3,2,500 - 1000,Αμάξι,18,06.00 - 09.00,Totally agree,Neutral,Totally agree,Agree,Neutral,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,13.3
Γυναίκα,21 - 30,Yes,3,2,500 - 1000,Αμάξι,15,15.00 - 18.00,Totally agree,Totally agree,Totally agree,Neutral,Neutral,Totally agree,Neutral,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,7
Άνδρας,21 - 30,Yes,2,2,1500 - 2000,Αμάξι,25,06.00 - 09.00,Neutral,Totally disagree,Agree,Neutral,Totally disagree,Neutral,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,29.8
Γυναίκα,31 -40,Yes,3,2,500 - 1000,Αμάξι,20,09.00 - 12.00,Totally agree,Neutral,Agree,Neutral,Totally disagree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,8
Γυναίκα,31 -40,Yes,2,1,1000 - 1500,Αμάξι,20,09.00 - 12.00,Totally agree,Totally agree,Totally agree,Disagree,Totally disagree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθόλου,7.4
Γυναίκα,21 - 30,No,4,1,0 - 500,Λεωφορείο,30,09.00 - 12.00,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),4.3
Γυναίκα,31 -40,Yes,2,2,1000 - 1500,Αμάξι,15,12.00 - 15.00,Totally agree,Agree,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),8
Γυναίκα,31 -40,Yes,3,2,500 - 1000,Αμάξι,30,12.00 - 15.00,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Καθημερινά,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),15.7
