Gender,Driver_licence,Motor_licence,Bike,Skate,Hsize,Vehicles,Income,Mode,Time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Distance,Geodesic_distance,Age_20 and less,Age_21 - 30,Age_31 -40,Age_41 - 50,Age_51 and more,Depart_time_06.00 - 09.00,Depart_time_09.00 - 12.00,Depart_time_12.00 - 15.00,Depart_time_Other
0,0,0,0,0,4,3,750,1,60,1,3,2,4,5,3,4,8.0,7.157181873219889,0,1,0,0,0,0,1,0,0
0,0,0,0,0,3,1,750,1,40,4,4,4,2,2,2,3,7.6,13.814557567299873,0,1,0,0,0,1,0,0,0
1,0,0,0,0,3,1,250,1,35,4,5,3,2,1,4,2,6.6,6.063514798510992,0,1,0,0,0,1,0,0,0
1,1,1,0,0,4,4,750,0,6,5,3,3,3,3,5,3,0.35,0.35,0,1,0,0,0,1,0,0,0
0,1,0,0,0,3,2,750,0,46,5,5,5,2,3,5,5,19.6,15.334967783563117,0,1,0,0,0,1,0,0,0
1,0,0,0,0,4,1,750,2,5,5,5,5,5,4,5,1,0.4,0.3008147088199932,0,1,0,0,0,0,1,0,0
0,1,0,0,0,3,3,2250,0,18,4,3,5,4,4,5,5,5.4,5.4,0,1,0,0,0,0,1,0,0
1,1,0,0,0,2,2,750,0,7,5,3,5,3,3,5,5,2.5,2.5,0,1,0,0,0,0,1,0,0
0,1,1,1,0,4,4,750,0,3,3,2,4,3,1,3,3,0.9,0.9,0,1,0,0,0,0,1,0,0
1,1,0,0,0,2,1,750,1,46,5,4,4,3,3,4,5,12.1,10.580625618800775,0,1,0,0,0,1,0,0,0
0,1,0,0,0,4,2,1250,0,33,5,3,3,2,2,2,4,11.2,8.081147735997094,0,0,0,0,1,1,0,0,0
1,1,0,0,0,4,1,250,2,12,3,4,3,3,5,4,2,0.95,0.8024751211233501,0,0,0,1,0,0,1,0,0
1,0,1,0,0,4,1,750,2,10,5,4,4,3,4,5,4,0.7,0.5534623918476886,0,1,0,0,0,1,0,0,0
0,1,0,0,0,2,1,750,0,14,4,4,4,4,5,4,5,3.5,2.649491773269972,0,1,0,0,0,1,0,0,0
0,1,0,0,0,3,2,1250,0,36,3,3,4,3,1,1,5,10.4,10.4,0,0,1,0,0,0,0,1,0
0,1,0,0,0,1,1,1750,0,36,1,2,2,2,2,3,1,29.2,29.2,0,1,0,0,0,1,0,0,0
0,1,0,0,0,3,1,1250,0,6,5,2,5,4,3,5,4,1.4,0.9425881491422317,0,1,0,0,0,0,1,0,0
0,1,0,0,0,4,2,250,1,36,3,4,3,2,2,2,2,6.4,5.252254798734317,0,1,0,0,0,0,1,0,0
0,1,0,0,0,3,2,2250,0,45,1,5,5,5,5,5,5,38.1,25.5483705531291,0,1,0,0,0,1,0,0,0
0,1,0,0,0,2,1,750,0,22,3,3,2,1,3,3,1,7.0,6.214689305777537,0,0,1,0,0,0,1,0,0
0,1,1,0,0,2,1,750,0,17,3,2,3,3,2,3,5,10.2,4.740111512925962,0,0,0,1,0,1,0,0,0
1,0,0,0,0,5,1,750,2,28,2,1,3,2,5,4,1,2.1,1.4629285375546854,0,1,0,0,0,0,0,0,1
0,1,0,0,0,5,3,1250,0,10,5,5,5,2,3,4,4,7.5,5.758739691686749,0,0,1,0,0,1,0,0,0
0,1,0,1,0,3,2,750,0,16,5,3,5,4,3,5,5,5.8,4.616438863167807,0,1,0,0,0,1,0,0,0
1,1,0,0,0,3,2,750,0,5,5,5,5,3,3,5,3,7.2,7.2,0,1,0,0,0,0,0,0,1
