Gender,Bike,Skate,Hsize,Time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Distance,Age_20 και κάτω,Age_21 - 30,Age_31 -40,Age_41 - 50,Age_51 και ανω,Income_0 - 500,Income_1000 - 1500,Income_1500 και ανω,Income_500 - 1000,Depart_time_06.00 - 09.00,Depart_time_09.00 - 12.00,Depart_time_12.00 - 15.00,Depart_time_Other,Mode
0,0,0,4,8,5,4,5,4,4,4,4,2.3,0,0,0,0,1,0,1,0,0,1,0,0,0,0
0,0,0,5,23,5,3,2,2,2,1,2,6.3,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1,0,0,3,21,3,1,2,3,1,3,1,2.3,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,0,0,3,12,3,3,3,4,4,5,1,0.85,1,0,0,0,0,1,0,0,0,0,0,1,0,2
0,0,0,2,12,5,4,2,2,4,5,2,0.9,0,0,1,0,0,0,0,0,1,1,0,0,0,2
1,1,0,4,19,3,4,3,2,4,4,4,1.3,0,0,1,0,0,0,0,0,1,0,0,1,0,2
1,0,0,4,55,3,5,3,3,3,4,3,9.8,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,0,0,3,9,5,5,5,5,5,5,5,0.9,0,0,0,1,0,0,1,0,0,0,1,0,0,2
1,0,0,4,25,4,4,2,2,2,2,2,4.4,0,0,1,0,0,0,0,0,1,0,1,0,0,1
0,0,0,4,12,3,3,3,4,4,4,3,0.85,1,0,0,0,0,1,0,0,0,0,0,0,1,2
1,0,0,3,22,4,3,3,2,3,3,4,15.7,0,0,1,0,0,0,0,0,1,0,0,1,0,0
0,0,0,4,33,5,3,4,3,3,3,4,19.8,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,0,2,16,4,4,3,2,2,4,3,2.6,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,1,0,3,27,3,3,3,3,4,5,3,1.9,1,0,0,0,0,0,0,0,1,0,0,1,0,2
0,0,0,3,20,5,3,3,3,3,3,5,4.9,0,1,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,4,24,4,4,3,3,2,2,2,3.1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1,0,0,5,5,5,5,5,3,3,5,3,0.7,1,0,0,0,0,1,0,0,0,1,0,0,0,2
1,0,0,4,47,3,3,3,5,3,3,3,8.3,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,2,47,2,5,1,2,2,4,4,7.4,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,0,0,5,20,4,5,5,5,5,3,3,1.5,0,1,0,0,0,0,0,0,1,0,0,1,0,2
1,0,0,5,36,4,3,5,3,3,3,5,16.7,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0,0,5,16,4,4,2,2,4,5,2,1.2,1,0,0,0,0,0,0,0,1,0,1,0,0,2
1,0,0,4,27,4,3,4,3,3,3,3,11.3,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,4,23,5,3,5,3,3,5,5,8.8,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,0,4,27,3,3,3,4,4,4,3,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,2
0,0,0,5,30,5,5,5,3,3,5,4,22.5,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0,0,5,3,4,4,3,2,3,4,5,1.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,3,18,4,3,5,4,4,5,5,5.4,0,1,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,3,30,3,3,4,4,4,5,3,2.1,0,1,0,0,0,1,0,0,0,0,0,1,0,2
0,0,0,4,20,5,2,4,1,3,5,2,5.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,3,35,2,5,2,5,2,2,4,4.0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,0,2,50,3,5,1,5,1,1,1,5.8,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,1,0,4,40,1,5,5,4,3,4,1,6.8,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,3,45,1,5,5,5,5,5,5,38.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
